ZL.ID,MC.ID,Location,Port,Station,Instrument,Note
z6-16012,FB6_MC3,FB6,4,S4,LWS,
z6-16012,FB6_MC3,FB6,5,S3,A14,
z6-16012,FB6_MC3,FB6,6,S3,LWS,
z6-15995,FB7_MC1,FB7,1,S1,PYR,
z6-15995,FB7_MC1,FB7,2,S4,A22,
z6-15995,FB7_MC1,FB7,3,S1,A14,
z6-15995,FB7_MC1,FB7,4,S1,LWS,
z6-15995,FB7_MC1,FB7,5,S4,A14,
z6-15995,FB7_MC1,FB7,6,S4,LWS,
z6-15989,FB7_MC2,FB7,1,S2,PYR,
z6-15989,FB7_MC2,FB7,2,S4,PYR,
z6-15989,FB7_MC2,FB7,3,S2,A14,
z6-15989,FB7_MC2,FB7,4,S2,LWS,
z6-15989,FB7_MC2,FB7,5,S5,LWS,
z6-15989,FB7_MC2,FB7,6,S5,A14,
z6-15988,FB7_MC3,FB7,1,S3,PYR,
z6-15988,FB7_MC3,FB7,2,S3,A22,
z6-15988,FB7_MC3,FB7,3,S3,A14,
z6-15988,FB7_MC3,FB7,4,S3,LWS,
z6-15988,FB7_MC3,FB7,5,NA,NA,
z6-15988,FB7_MC3,FB7,6,NA,NA,
z6-15932,FB8_MC1,FB8,1,S1,PYR,
z6-15932,FB8_MC1,FB8,2,S4,PYR,
z6-15932,FB8_MC1,FB8,3,S1,A14,
z6-15932,FB8_MC1,FB8,4,S1,LWS,
z6-15932,FB8_MC1,FB8,5,S4,A14,
z6-15932,FB8_MC1,FB8,6,S4,LWS,
z6-16006,FB8_MC2,FB8,1,S2,PYR,
z6-16006,FB8_MC2,FB8,2,CS,EC5,
z6-16006,FB8_MC2,FB8,3,S2,A14,
z6-16006,FB8_MC2,FB8,4,S2,LWS,
z6-16006,FB8_MC2,FB8,5,S5,A14,
z6-16006,FB8_MC2,FB8,6,S5,LWS,
z6-15984,FB8_MC3,FB8,1,S3,PYR,
z6-15984,FB8_MC3,FB8,2,S3,A22,
z6-15984,FB8_MC3,FB8,3,S3,A14,
z6-15984,FB8_MC3,FB8,4,S3,LWS,
z6-15984,FB8_MC3,FB8,5,S4,A22,
z6-15984,FB8_MC3,FB8,6,NA,NA,
z6-15937,TV1_MC1,TV1,1,S1,PYR,
z6-15937,TV1_MC1,TV1,2,NA,,
z6-15937,TV1_MC1,TV1,3,S1,A14,
z6-15937,TV1_MC1,TV1,4,S1,LWS,
z6-15937,TV1_MC1,TV1,5,S5,A14,
z6-15937,TV1_MC1,TV1,6,S5,LWS,
z6-16004,TV1_MC2,TV1,1,S2,PYR,
z6-16004,TV1_MC2,TV1,2,S2,A14,
z6-16004,TV1_MC2,TV1,3,S2,LWS,
z6-16004,TV1_MC2,TV1,4,S4,PYR,
z6-16004,TV1_MC2,TV1,5,S4,A14,
z6-16004,TV1_MC2,TV1,6,S4,LWS,
z6-15990,TV1_MC3,TV1,1,S3,PYR,
z6-15990,TV1_MC3,TV1,2,S3,A22,
z6-15990,TV1_MC3,TV1,3,S3,A14,
z6-15990,TV1_MC3,TV1,4,S3,LWS,
z6-15990,TV1_MC3,TV1,5,S4,A22,
z6-15990,TV1_MC3,TV1,6,NA,,
z6-15955,TV2_MC1,TV2,1,S1,PYR,
z6-15955,TV2_MC1,TV2,2,S4,A22,
z6-15955,TV2_MC1,TV2,3,S1,A14,
z6-15955,TV2_MC1,TV2,4,S1,LWS,
z6-15955,TV2_MC1,TV2,5,NA,,
z6-15955,TV2_MC1,TV2,6,NA,,
z6-15987,TV2_MC2,TV2,1,S2,PYR,
z6-15987,TV2_MC2,TV2,2,S2,A22,
z6-15987,TV2_MC2,TV2,3,S2,A14,
z6-15987,TV2_MC2,TV2,4,S2,LWS,
z6-15987,TV2_MC2,TV2,5,S5,A14,
z6-15987,TV2_MC2,TV2,6,S5,LWS,
z6-15980,TV2_MC3,TV2,1,S3,PYR,
z6-15980,TV2_MC3,TV2,2,S3,A14,
z6-15980,TV2_MC3,TV2,3,S3,LWS,
z6-15980,TV2_MC3,TV2,4,S4,PYR,
z6-15980,TV2_MC3,TV2,5,S4,A14,
z6-15980,TV2_MC3,TV2,6,S4,LWS,
z6-15974,TV3_MC1,TV3,1,S1,PYR,
z6-15974,TV3_MC1,TV3,2,S1,A22,
z6-15974,TV3_MC1,TV3,3,S1,A14,
z6-15974,TV3_MC1,TV3,4,S1,LWS,
z6-15974,TV3_MC1,TV3,5,S4,PYR,
z6-15974,TV3_MC1,TV3,6,S4,A14,
z6-16002,TV3_MC2,TV3,1,S2,PYR,
z6-16002,TV3_MC2,TV3,2,S4,A22,
z6-16002,TV3_MC2,TV3,3,S2,A14,
z6-16002,TV3_MC2,TV3,4,S2,LWS,
z6-16002,TV3_MC2,TV3,5,S4,LWS,
z6-16002,TV3_MC2,TV3,6,NA,,
z6-16001,TV3_MC3,TV3,1,S3,PYR,
z6-16001,TV3_MC3,TV3,2,NA,,
z6-16001,TV3_MC3,TV3,3,S3,A14,
z6-16001,TV3_MC3,TV3,4,S3,LWS,
z6-16001,TV3_MC3,TV3,5,NA,,
z6-16001,TV3_MC3,TV3,6,NA,,
z6-15877,TV4_MC1,TV4,1,S1,PYR,
z6-15877,TV4_MC1,TV4,2,S1,A22,
z6-15877,TV4_MC1,TV4,3,S1,A14,
z6-15877,TV4_MC1,TV4,4,S1,LWS,
z6-15877,TV4_MC1,TV4,5,S3,,Briefly had S3 Solar
z6-15877,TV4_MC1,TV4,6,S4,A22,
z6-16010,TV4_MC2,TV4,1,S4,PYR,
z6-16010,TV4_MC2,TV4,2,S4,A14,
z6-16010,TV4_MC2,TV4,3,S4,LWS,
z6-16010,TV4_MC2,TV4,4,S2,PYR,
z6-16010,TV4_MC2,TV4,5,S2,A14,
z6-16010,TV4_MC2,TV4,6,S2,LWS,
z6-15958,TV4_MC3,TV4,1,S3,PYR,Was moved to MC1 then back to MC3
z6-15958,TV4_MC3,TV4,2,S4,A22,
z6-15958,TV4_MC3,TV4,3,S3,A14,
z6-15958,TV4_MC3,TV4,4,S3,LWS,
z6-15958,TV4_MC3,TV4,5,CS,EC5,
z6-15958,TV4_MC3,TV4,6,CS,RT1,
z6-15899,ETP1_ATM41,ETP1,1,Ground,,
z6-15899,ETP1_ATM41,ETP1,2,Ground,,
z6-15899,ETP1_ATM41,ETP1,3,NA,,
z6-15899,ETP1_ATM41,ETP1,4,NA,,
z6-15899,ETP1_ATM41,ETP1,5,NA,,
z6-15899,ETP1_ATM41,ETP1,6,FG,,
z6-16041,ETP2_ATM41,ETP2,1,Ground,,
z6-16041,ETP2_ATM41,ETP2,2,Ground,,
z6-16041,ETP2_ATM41,ETP2,3,NA,,
z6-16041,ETP2_ATM41,ETP2,4,NA,,
z6-16041,ETP2_ATM41,ETP2,5,NA,,
z6-16041,ETP2_ATM41,ETP2,6,NA,,
z6-15996,FBP1_ATM41,FBP1,1,Ground,,
z6-15996,FBP1_ATM41,FBP1,2,Ground,,
z6-15996,FBP1_ATM41,FBP1,3,NA,,
z6-15996,FBP1_ATM41,FBP1,4,NA,,
z6-15996,FBP1_ATM41,FBP1,5,NA,,
z6-15996,FBP1_ATM41,FBP1,6,NA,,
z6-15979,FBP2_ATM41,FBP2,1,Ground,,
z6-15979,FBP2_ATM41,FBP2,2,Ground,,
z6-15979,FBP2_ATM41,FBP2,3,NA,,
z6-15979,FBP2_ATM41,FBP2,4,NA,,
z6-15979,FBP2_ATM41,FBP2,5,NA,,
z6-15979,FBP2_ATM41,FBP2,6,NA,,
z6-15917,TV_ATM41,TV,1,Ground,,
z6-15917,TV_ATM41,TV,2,Ground,,
z6-15917,TV_ATM41,TV,3,NA,,
z6-15917,TV_ATM41,TV,4,NA,,
z6-15917,TV_ATM41,TV,5,NA,,
z6-15917,TV_ATM41,TV,6,FG,,
z6-15935,NA,Extra,1,NA,,
z6-15935,NA,Extra,2,NA,,
z6-15935,NA,Extra,3,NA,,
z6-15935,NA,Extra,4,NA,,
z6-15935,NA,Extra,5,NA,,
z6-15935,NA,Extra,6,NA,,
