Tree,Station,Variable,Start,End,Apply.to.instrument,Apply.to.datalogger,Note
FB8,S3,Solar,7/6/2023 19:15,8/2/2023 0:15,Yes,Yes,Datalogger out
FB8,S3,Solar,9/7/2023 23:15,9/21/2023 0:15,Yes,Yes,Datalogger out
FB8,S3,Solar,11/28/2023 14:15,12/8/2023 22:15,Yes,Yes,Datalogger out
FB8,S1,Temp,10/2/2023 13:45,10/9/2023 23:45,Yes,No,Sensor blinking in and out
FB8,S2,Temp,7/18/2023 15:45,8/31/2023 15:15,Yes,No,Sensor out
FB8,S4,Temp,10/10/2023 2:45,10/25/2023 20:00,Yes,No,Sensor out
FB8,S5,LWS_Count,8/15/2023 17:45,9/22/2023 8:30,Yes,No,Fritzing; elevated low LWS values in long tube
FB8,S5,LWS_Count,10/30/2023 6:00,8/10/2024 6:15,Yes,No,Fritzing; elevated low LWS values in long tube
TV1,S3,Solar,10/24/2023 3:30,11/7/2023 20:15,Yes,Yes,Datalogger out
TV1,S5,Temp,7/3/2023 1:30,1/22/2024 13:45,Yes,No,Instrument out
TV1,S5,Temp,3/4/2024 1:15,7/20/2024 19:45,Yes,No,Instrument out
TV1,S5,LWS_Count,10/30/2023 7:00,7/20/2024 11:45,Yes,No,Fritzing
TV2,S2,Solar,8/17/2023 15:30,9/19/2023 18:30,Yes,Yes,Datalogger out
TV4,S3,LWS_Count,8/30/2023 13:00,9/20/2023 14:30,Yes,Yes,Datalogger out
TV4,S3,LWS_Count,10/12/2023 3:15,10/20/2023 15:30,Yes,Yes,Datalogger out
ETP1,S0,Solar,11/17/2023 6:30,12/5/2023 12:30,Yes,Yes,Datalogger out
ETP2,S0,Solar,11/21/2023 14:45,12/27/2023 7:15,Yes,No,Instrument out
ETP2,S0,Precipitation,7/21/2023 20:15,8/18/2023 8:45,No,No,"No rainfall recorded, likely was plugged"
ETP2,S0,Precip_max,7/21/2023 21:30,8/18/2023 8:45,No,No,"No rainfall recorded, likely was plugged"
FBP2,S0,Solar,7/31/2023 13:15,8/2/2023 15:15,Yes,No,Fritzing
FBP2,S0,Solar,8/12/2023 8:15,8/14/2023 7:00,Yes,No,Fritzing
FBP2,S0,Solar,9/25/2023 4:00,11/14/2023 12:30,Yes,No,Fritzing
FBP2,S0,LWS_Count,7/31/2023 4:30,8/2/2023 20:45,Yes,No,Fritzing
FBP2,S0,LWS_Count,8/7/2023 12:30,8/14/2023 14:30,Yes,No,Fritzing
FBP2,S0,LWS_Count,9/25/2023 0:00,12/2/2023 1:30,Yes,No,Fritzing
ET2,S1,Solar,3/14/2024 3:45,3/18/2024 18:00,Yes,Yes,Datalogger out
ET3,S4,Temp,2/15/2024 9:30,3/4/2024 17:30,Yes,No,Instrument out
ET5,S2,Wind_speed,5/12/2024 21:15,9/12/2024 9:45,Yes,No,"Instrument out, never fixed"
ET6,S1,LWS_Count,5/22/2024 4:00,6/25/2024 17:00,Yes,No,Instrument out
ET6,S4,LWS_Count,4/25/2024 3:15,8/24/2024 9:30,Yes,No,Instrument out
ET7,S5,LWS_Count,4/12/2024 8:00,4/25/2024 0:00,Yes,No,"Fritzing, long tube LWS"
ET8,S1,Wind_speed,2/21/2024 2:30,2/22/2024 0:45,Yes,No,Fritzing
FB5,S4,LWS_Count,3/19/2024 19:00,3/20/2024 9:45,Yes,No,Instrument out; never fixed
FB6,S3,Solar,3/5/2024 12:15,3/27/2024 14:15,Yes,Yes,Datalogger out
FB6,S4,LWS_Count,4/9/2024 20:45,5/17/2024 19:15,Yes,No,Instrument out
FB7,S2,Solar,2/23/2024 2:15,3/5/2024 17:45,Yes,No,Fritzing
FB7,S5,Temp,4/28/2024 12:45,5/23/2024 16:45,Yes,No,Instrument out
FB7,S5,Temp,5/26/2024 8:45,9/10/2024 18:30,Yes,No,Instrument out
FB7,S5,LWS_Count,5/22/2024 22:30,11/12/2024 10:30,Yes,No,"Fritzing, never fixed; long tube LWS"
FB7,S4,Wind_speed,1/9/2024 9:15,2/23/2024 17:30,Yes,No,Instrument out
FB8,S2,Solar,4/23/2024 14:45,5/24/2024 1:30,Yes,No,Instrument out
FB8,S3,Solar,1/19/2024 23:00,3/5/2024 19:15,Yes,Yes,Datalogger out
TV1,S5,Atmos_pressure,2/13/2024 17:15,2/14/2024 17:00,No,No,"Fritzing, but only affecting atmospheric pressure"
TV1,S1,LWS_Count,3/8/2024 9:00,3/10/2024 16:15,Yes,No,Fritzing
TV2,S5,Temp,11/23/2023 14:30,11/23/2023 22:45,Yes,No,"Instrument out, long tube ATM14. Never fixed because of wasps"
TV3,S3,Solar,1/23/2024 5:00,2/7/2024 14:15,Yes,Yes,Datalogger out
TV4,S4,Wind_speed,8/30/2023 13:45,9/20/2023 13:00,Yes,No,Blinking in and out
TV4,S4,Wind_speed,10/12/2023 3:45,1/24/2024 6:00,Yes,No,Instrument out
ETP2,S0,Atmos_pressure,5/21/2024 2:00,5/28/2024 18:45,No,No,"Fritzing, only affects atmos pressure"
TVP,S0,Solar,1/5/2024 0:45,1/23/2024 14:30,Yes,Yes,Datalogger out
ETP2,S0,Wind_speed,9/25/2023 0:15,12/26/2023 13:30,No,No,Very suspect values- too low
ETP2,S0,Gust_speed,9/25/2023 0:30,12/26/2023 13:30,No,No,Very suspect values- too low
ET3,S1,LWS_Count,6/28/2024 9:15,7/2/2024 10:30,Yes,No,Fritzing
ET3,S1,LWS_Count,9/22/2024 10:30,10/2/2024 9:45,Yes,No,Fritzing
ET3,S4,Wind_speed,7/11/2024 11:00,9/11/2024 19:15,Yes,No,Instrument out
ET4,S2,Solar,6/20/2024 2:30,7/12/2024 9:45,Yes,No,Instrument out
ET4,S2,LWS_Count,6/19/2024 23:00,7/12/2024 19:45,Yes,No,Instrument out
ET4,S2,Wind_speed,6/20/2024 2:15,7/12/2024 11:30,Yes,No,Instrument out
ET4,S4,Wind_speed,6/20/2024 5:45,7/12/2024 18:30,Yes,No,Instrument out
ET5,S3,Solar,8/24/2024 2:30,8/31/2024 0:30,Yes,No,Fritzing
ET5,S4,Wind_speed,8/24/2024 12:45,8/30/2024 21:15,Yes,No,Instrument out
ET6,S3,Solar,6/12/2024 11:00,6/25/2024 22:00,Yes,Yes,Datalogger out
ET7,S5,Temp,6/5/2024 3:00,9/24/2024 8:45,Yes,No,"Instrument out, never fixed"
ET7,S5,LWS_Count,6/4/2024 8:30,6/6/2024 18:30,Yes,No,Fritzing
ET7,S5,LWS_Count,6/15/2024 0:15,6/20/2024 10:00,Yes,No,Fritzing
ET7,S5,LWS_Count,9/23/2024 15:15,10/8/2024 9:30,Yes,No,Fritzing
ET8,S1,Solar,7/3/2024 21:00,7/26/2024 23:30,Yes,Yes,Datalogger out
ET8,S2,Temp,7/3/2024 17:30,7/26/2024 20:45,Yes,Yes,Datalogger out
ET8,S2,Temp,9/4/2024 14:45,10/9/2024 10:45,Yes,No,Instrument blinking in and out
ET8,S5,LWS_Count,8/10/2024 0:15,8/13/2024 5:15,Yes,No,Fritzing
FB5,S2,Solar,6/17/2024 21:45,8/28/2024 18:15,Yes,Yes,Datalogger out
FB6,S5,Temp,6/23/2024 10:45,8/16/2024 20:15,Yes,No,Instrument out
FB6,S4,Wind_speed,7/12/2024 12:00,8/20/2024 2:30,Yes,No,Instrument out
TV4,S1,Solar,7/24/2024 7:15,8/30/2024 0:00,Yes,No,Instrument out
TV4,S1,Temp,8/13/2024 13:45,8/30/2024 0:00,Yes,No,"Instrument out, likely datalogger issues"
TV4,S2,Atmos_pressure,9/21/2024 23:00,11/2/2024 0:00,No,No,Atmos pressure values went berserk
TV4,S1,LWS_Count,8/12/2024 12:00,8/30/2024 3:45,Yes,No,Instrument out
TV4,S1,Wind_speed,7/24/2024 0:45,8/29/2024 20:45,Yes,No,Instrument out
TV4,S4,Wind_speed,7/23/2024 23:30,8/30/2024 4:30,Yes,No,Instrument out
ETP1,S0,Precipitation,6/11/2024 1:15,7/11/2024 3:00,No,No,Taqueado
ETP1,S0,Precip_max,6/11/2024 1:15,7/11/2024 3:00,No,No,Taqueado
FBP1,S0,Solar,8/8/2024 2:45,9/13/2024 18:30,No,Yes,"Datalogger out, cows had chewed LWS cables"
FBP1,S0,RH,9/13/2024 9:15,10/10/2024 9:00,Yes,No,RH sensor misbehaving
TVP,S0,ECRN-100_Precipitation,9/13/2024 20:00,10/17/2024 11:15,Yes,No,Instrument out
FB8,CS,EpiMoisture,9/21/2023 11:00,6/12/2024 10:15,Yes,No,"Bad data, way too low"
FB8,CS,EpiMoisture,6/26/2024 23:00,7/16/2024 20:00,Yes,No,"Bad data, again too low"
FB7,S5,LWS_Count,9/1/2022 10:45,2/16/2023 11:00,Yes,No,Initial long tube installation and broken pipe
