Tree,MC,Timestamp,Port3_RH,Port3_Atmos_pressure,Port3_VPD,Port3_Temp,Port1_Solar,Port4_LW_minutes,Port4_LWS_Count,Port4_LW_minutes_H
TV3,MC3,2023-06-02T20:15:00Z,0.889,85.01,0.23,18.3,0,15,454,0
TV3,MC3,2023-06-02T20:30:00Z,0.914,85,0.18,18.1,0,15,455,0
TV3,MC3,2023-06-02T20:45:00Z,0.926,85.02,0.15,18,0,15,455,0
TV3,MC3,2023-06-02T21:00:00Z,0.936,85.02,0.13,17.9,0,15,455,0
TV3,MC3,2023-06-02T21:15:00Z,0.932,85.04,0.14,18,0,15,456,0
TV3,MC3,2023-06-02T21:30:00Z,0.937,85.04,0.13,17.9,0,15,456,0
TV3,MC3,2023-06-02T21:45:00Z,0.95,85.05,0.1,17.7,0,15,456,0
TV3,MC3,2023-06-02T22:00:00Z,0.956,85.04,0.09,17.8,0,15,457,0
TV3,MC3,2023-06-02T22:15:00Z,0.969,85.04,0.06,17.8,0,15,459,0
TV3,MC3,2023-06-02T22:30:00Z,0.977,85.05,0.05,17.7,0,15,463,10
TV3,MC3,2023-06-02T22:45:00Z,0.983,85.05,0.03,17.6,0,15,465,15
TV3,MC3,2023-06-02T23:00:00Z,0.983,85.04,0.03,17.4,0,15,467,15
TV3,MC3,2023-06-02T23:15:00Z,0.983,85.02,0.03,17.3,0,15,470,15
TV3,MC3,2023-06-02T23:30:00Z,0.981,85.01,0.04,17.2,0,15,473,15
TV3,MC3,2023-06-02T23:45:00Z,0.974,85,0.05,17.3,0,15,465,15
TV3,MC3,2023-06-03T00:00:00Z,0.969,84.99,0.06,17.4,0,15,466,15
TV3,MC3,2023-06-03T00:15:00Z,0.979,84.98,0.04,17.4,0,15,470,15
TV3,MC3,2023-06-03T00:30:00Z,0.982,84.96,0.03,17.3,0,15,475,15
TV3,MC3,2023-06-03T00:45:00Z,0.98,84.95,0.04,17.1,0,15,470,15
TV3,MC3,2023-06-03T01:00:00Z,0.96,84.94,0.08,17.2,0,15,462,15
TV3,MC3,2023-06-03T01:15:00Z,0.943,84.93,0.11,17.4,0,15,457,3
TV3,MC3,2023-06-03T01:30:00Z,0.936,84.93,0.13,17.4,0,15,457,0
TV3,MC3,2023-06-03T01:45:00Z,0.934,84.92,0.13,17.4,0,15,456,0
TV3,MC3,2023-06-03T02:00:00Z,0.932,84.91,0.14,17.5,0,15,456,0
TV3,MC3,2023-06-03T02:15:00Z,0.939,84.89,0.12,17.4,0,15,457,0
TV3,MC3,2023-06-03T02:30:00Z,0.95,84.88,0.1,17.4,0,15,457,0
TV3,MC3,2023-06-03T02:45:00Z,0.954,84.87,0.09,17.4,0,15,457,0
TV3,MC3,2023-06-03T03:00:00Z,0.957,84.87,0.09,17.5,0,15,458,0
TV3,MC3,2023-06-03T03:15:00Z,0.968,84.88,0.06,17.5,0,15,459,0
TV3,MC3,2023-06-03T03:30:00Z,0.967,84.88,0.07,17.6,0,15,458,0
TV3,MC3,2023-06-03T03:45:00Z,0.956,84.87,0.09,17.5,0,15,457,0
TV3,MC3,2023-06-03T04:00:00Z,0.939,84.88,0.12,17.7,0,15,456,0
TV3,MC3,2023-06-03T04:15:00Z,0.933,84.88,0.14,17.7,0,15,457,0
TV3,MC3,2023-06-03T04:30:00Z,0.944,84.87,0.11,17.5,0,15,459,0
TV3,MC3,2023-06-03T04:45:00Z,0.945,84.87,0.11,17.6,0,15,456,0
TV3,MC3,2023-06-03T05:00:00Z,0.928,84.87,0.15,18,0,15,456,0
TV3,MC3,2023-06-03T05:15:00Z,0.927,84.88,0.15,17.9,0,15,456,0
TV3,MC3,2023-06-03T05:30:00Z,0.93,84.88,0.14,17.8,1.8,15,456,0
TV3,MC3,2023-06-03T05:45:00Z,0.926,84.89,0.15,17.9,9.2,15,456,0
TV3,MC3,2023-06-03T06:00:00Z,0.927,84.9,0.15,18,15.2,15,456,0
