Tree,MC,Timestamp,Port3_Atmos_pressure,Port3_RH,Port3_VPD,Port3_Temp,Port1_Solar,Port4_LW_minutes_H,Port4_LWS_Count,Port4_LW_minutes
FB3,MC2,2023-06-02T21:45:00Z,85.79,0.925,0.16,18.3,0,0,460,15
FB3,MC2,2023-06-02T22:00:00Z,85.78,0.934,0.14,18.2,0,9,461,15
FB3,MC2,2023-06-02T22:15:00Z,85.78,0.947,0.11,18.2,0,15,463,15
FB3,MC2,2023-06-02T22:30:00Z,85.79,0.958,0.09,18.1,0,15,464,15
FB3,MC2,2023-06-02T22:45:00Z,85.79,0.963,0.08,18,0,15,464,15
FB3,MC2,2023-06-02T23:00:00Z,85.78,0.961,0.08,17.9,0,15,464,15
FB3,MC2,2023-06-02T23:15:00Z,85.76,0.958,0.09,17.8,0,15,464,15
FB3,MC2,2023-06-02T23:30:00Z,85.75,0.961,0.08,17.7,0,15,464,15
FB3,MC2,2023-06-02T23:45:00Z,85.74,0.955,0.09,17.8,0,15,462,15
FB3,MC2,2023-06-03T00:00:00Z,85.73,0.946,0.11,18,0,15,463,15
FB3,MC2,2023-06-03T00:15:00Z,85.72,0.955,0.09,17.8,0,15,465,15
FB3,MC2,2023-06-03T00:30:00Z,85.7,0.963,0.07,17.7,0,15,465,15
FB3,MC2,2023-06-03T00:45:00Z,85.69,0.96,0.08,17.7,0,15,463,15
FB3,MC2,2023-06-03T01:00:00Z,85.68,0.946,0.11,17.8,0,15,461,15
FB3,MC2,2023-06-03T01:15:00Z,85.67,0.929,0.14,17.8,0,7,459,15
FB3,MC2,2023-06-03T01:30:00Z,85.67,0.922,0.16,17.9,0,0,459,15
FB3,MC2,2023-06-03T01:45:00Z,85.66,0.92,0.16,17.8,0,0,459,15
FB3,MC2,2023-06-03T02:00:00Z,85.65,0.919,0.16,17.8,0,0,459,15
FB3,MC2,2023-06-03T02:15:00Z,85.63,0.919,0.17,17.8,0,0,460,15
FB3,MC2,2023-06-03T02:30:00Z,85.62,0.926,0.15,17.8,0,10,460,15
FB3,MC2,2023-06-03T02:45:00Z,85.61,0.935,0.13,17.9,0,15,461,15
FB3,MC2,2023-06-03T03:00:00Z,85.61,0.938,0.13,18,0,15,461,15
FB3,MC2,2023-06-03T03:15:00Z,85.63,0.943,0.12,18,0,15,463,15
FB3,MC2,2023-06-03T03:30:00Z,85.62,0.95,0.1,18,0,15,463,15
FB3,MC2,2023-06-03T03:45:00Z,85.61,0.941,0.12,17.8,0,15,461,15
FB3,MC2,2023-06-03T04:00:00Z,85.62,0.93,0.14,17.9,0,12,460,15
FB3,MC2,2023-06-03T04:15:00Z,85.62,0.92,0.17,18.1,0,5,460,15
FB3,MC2,2023-06-03T04:30:00Z,85.62,0.915,0.18,18.2,0,2,459,15
FB3,MC2,2023-06-03T04:45:00Z,85.62,0.914,0.18,18.1,0,3,459,15
FB3,MC2,2023-06-03T05:00:00Z,85.62,0.912,0.18,18,0,0,459,15
FB3,MC2,2023-06-03T05:15:00Z,85.63,0.913,0.18,18,0,0,459,15
FB3,MC2,2023-06-03T05:30:00Z,85.63,0.91,0.19,18,12.1,0,458,15
FB3,MC2,2023-06-03T05:45:00Z,85.64,0.913,0.18,18.1,49.4,0,457,15
FB3,MC2,2023-06-03T06:00:00Z,85.65,0.902,0.21,18.7,82.6,0,455,15
FB3,MC2,2023-06-03T06:15:00Z,85.66,0.883,0.26,19.3,43.4,0,455,15
FB3,MC2,2023-06-03T06:30:00Z,85.67,0.871,0.3,19.9,43.2,0,455,15
FB3,MC2,2023-06-03T06:45:00Z,85.68,0.86,0.33,20.3,59.5,0,454,15
FB3,MC2,2023-06-03T07:00:00Z,85.7,0.846,0.38,20.8,170.1,0,453,15
FB3,MC2,2023-06-03T07:15:00Z,85.7,0.829,0.43,21.3,145.8,0,452,15
FB3,MC2,2023-06-03T07:30:00Z,85.72,0.815,0.48,21.7,311.3,0,451,15
FB3,MC2,2023-06-03T07:45:00Z,85.73,0.794,0.55,22.2,149.4,0,451,15
FB3,MC2,2023-06-03T08:00:00Z,85.74,0.788,0.58,22.5,143.4,0,451,15
FB3,MC2,2023-06-03T08:15:00Z,85.75,0.791,0.57,22.5,160.6,0,452,15
