Tree,MC,Timestamp,Port5_Atmos_pressure,Port5_VPD,Port5_Temp,Port5_RH,Port3_VPD,Port3_Atmos_pressure,Port3_RH,Port3_Temp,Port1_Solar,Port2_Solar,Port4_LWS_Count,Port4_LW_minutes_H,Port4_LW_minutes,Port6_LWS_Count,Port6_LW_minutes,Port6_LW_minutes_H
ET7,MC1,2023-06-01T19:45:00Z,87.83,0.11,20.1,0.955,0.15,87.83,0.936,20.1,0,0,470,15,15,472,15,15
ET7,MC1,2023-06-01T20:00:00Z,87.85,0.1,20.1,0.959,0.14,87.85,0.94,20.1,0,0,465,15,15,467,15,15
ET7,MC1,2023-06-01T20:15:00Z,87.86,0.1,20,0.959,0.14,87.85,0.94,20,0,0,469,15,15,473,15,15
ET7,MC1,2023-06-01T20:30:00Z,87.88,0.09,20,0.96,0.14,87.87,0.941,20,0,0,469,15,15,466,15,15
ET7,MC1,2023-06-01T20:45:00Z,87.9,0.08,19.9,0.967,0.13,87.9,0.945,19.9,0,0,471,15,15,491,15,15
ET7,MC1,2023-06-01T21:00:00Z,87.9,0.06,19.8,0.972,0.11,87.9,0.952,19.8,0,0,584,15,15,570,15,15
ET7,MC1,2023-06-01T21:15:00Z,87.9,0.07,19.8,0.971,0.12,87.9,0.949,19.8,0,0,549,15,15,533,15,15
ET7,MC1,2023-06-01T21:30:00Z,87.92,0.07,20,0.971,0.11,87.91,0.952,19.9,0,0,631,15,15,565,15,15
ET7,MC1,2023-06-01T21:45:00Z,87.93,0.08,19.9,0.966,0.12,87.93,0.947,19.9,0,0,755,15,15,586,15,15
ET7,MC1,2023-06-01T22:00:00Z,87.94,0.06,19.7,0.973,0.1,87.94,0.957,19.5,0,0,574,15,15,532,15,15
ET7,MC1,2023-06-01T22:15:00Z,87.95,0.06,19.5,0.972,0.1,87.95,0.957,19.4,0,0,543,15,15,494,15,15
ET7,MC1,2023-06-01T22:30:00Z,87.95,0.06,19.5,0.973,0.1,87.94,0.956,19.4,0,0,608,15,15,487,15,15
ET7,MC1,2023-06-01T22:45:00Z,87.93,0.05,19.4,0.977,0.09,87.92,0.959,19.4,0,0,503,15,15,488,15,15
ET7,MC1,2023-06-01T23:00:00Z,87.92,0.05,19.6,0.976,0.1,87.91,0.958,19.6,0,0,482,15,15,487,15,15
ET7,MC1,2023-06-01T23:15:00Z,87.91,0.07,19.7,0.971,0.11,87.9,0.951,19.7,0,0,490,15,15,490,15,15
ET7,MC1,2023-06-01T23:30:00Z,87.88,0.07,19.5,0.97,0.12,87.88,0.948,19.6,0,0,493,15,15,486,15,15
ET7,MC1,2023-06-01T23:45:00Z,87.88,0.06,19.3,0.973,0.11,87.88,0.952,19.3,0,0,467,15,15,485,15,15
ET7,MC1,2023-06-02T00:00:00Z,87.88,0.08,19.2,0.964,0.12,87.87,0.945,19.2,0,0,463,15,15,481,15,15
ET7,MC1,2023-06-02T00:15:00Z,87.87,0.07,19.3,0.967,0.12,87.87,0.946,19.3,0,0,467,15,15,478,15,15
ET7,MC1,2023-06-02T00:30:00Z,87.85,0.08,19.5,0.967,0.12,87.84,0.948,19.4,0,0,466,15,15,476,15,15
