Tree,MC,Timestamp,Port3_RH,Port3_Temp,Port3_Atmos_pressure,Port3_VPD,Port5_Temp,Port5_VPD,Port5_RH,Port5_Atmos_pressure,Port1_Solar,Port2_Solar,Port4_LW_minutes,Port4_LWS_Count,Port4_LW_minutes_H,Port6_LW_minutes,Port6_LWS_Count,Port6_LW_minutes_H
FB2,MC2,2023-06-02T02:15:00Z,0.999,17.9,85.9,0,17.9,0,1,86.02,0,0,15,552,15,15,580,15
FB2,MC2,2023-06-02T02:30:00Z,1,17.9,85.9,0,17.9,0,1,86.01,0,0,15,548,15,15,578,15
FB2,MC2,2023-06-02T02:45:00Z,1,17.9,85.89,0,17.8,0,1,86.01,0,0,15,525,15,15,576,15
FB2,MC2,2023-06-02T03:00:00Z,1,17.8,85.88,0,17.7,0,0.999,86,0,0,15,525,15,15,571,15
FB2,MC2,2023-06-02T03:15:00Z,1,17.8,85.87,0,17.7,0,1.001,86,0,0,15,504,15,15,563,15
FB2,MC2,2023-06-02T03:30:00Z,0.999,17.9,85.87,0,17.7,0,0.999,85.99,0,0,15,485,15,15,555,15
FB2,MC2,2023-06-02T03:45:00Z,1,17.8,85.87,0,17.6,0,1,85.99,0,0,15,480,15,15,548,15
FB2,MC2,2023-06-02T04:00:00Z,0.999,17.9,85.88,0,17.6,0,0.999,86,0,0,15,499,15,15,540,15
FB2,MC2,2023-06-02T04:15:00Z,0.99,18,85.88,0.02,17.6,0,1,86,0,0,15,492,15,15,531,15
FB2,MC2,2023-06-02T04:30:00Z,0.985,18,85.87,0.03,17.8,0,1,85.99,0,0,15,505,15,15,524,15
FB2,MC2,2023-06-02T04:45:00Z,0.975,18,85.88,0.05,17.9,0,1,86,0,0,15,500,15,15,518,15
FB2,MC2,2023-06-02T05:00:00Z,0.975,18.1,85.9,0.05,18,0.02,0.991,86.02,0,0,15,499,15,15,513,15
FB2,MC2,2023-06-02T05:15:00Z,0.979,18,85.91,0.04,18,0.02,0.991,86.02,0,0,15,495,15,15,510,15
FB2,MC2,2023-06-02T05:30:00Z,0.984,18,85.91,0.03,17.9,0.02,0.992,86.03,0,0,15,490,15,15,507,15
FB2,MC2,2023-06-02T05:45:00Z,0.983,18,85.93,0.04,18,0.02,0.99,86.05,3.7,0.7,15,485,15,15,504,15
FB2,MC2,2023-06-02T06:00:00Z,0.98,18,85.95,0.04,18,0.04,0.983,86.07,10.1,7.5,15,480,15,15,499,15
FB2,MC2,2023-06-02T06:15:00Z,0.978,18,85.97,0.04,18,0.04,0.982,86.09,15,10.3,15,478,15,15,496,15
FB2,MC2,2023-06-02T06:30:00Z,0.985,18,85.99,0.03,18,0.02,0.989,86.11,16.7,10.6,15,477,15,15,494,15
FB2,MC2,2023-06-02T06:45:00Z,0.985,18,86.01,0.03,18,0.03,0.987,86.13,12.8,7.7,15,476,15,15,493,15
FB2,MC2,2023-06-02T07:00:00Z,0.984,18,86.01,0.03,18,0.03,0.987,86.13,8.4,1.8,15,624,15,15,567,15
FB2,MC2,2023-06-02T07:15:00Z,0.985,17.8,86.03,0.03,17.8,0.03,0.988,86.14,6.8,0,15,653,15,15,584,15
