Tree,MC,Timestamp,Port3_VPD,Port3_RH,Port3_Temp,Port3_Atmos_pressure,Port2_ATM22_Yaxis,Port2_Gust_speed,Port2_Wind_speed,Port2_ATM22_temp,Port2_Wind_direction,Port2_ATM22_Xaxis,Port1_Solar,Port4_LW_minutes,Port4_LW_minutes_H,Port4_LWS_Count,Port5_EpiMoisture,Port6_EpiTemp
ET8,MC2,2023-06-01T14:30:00Z,0.12,0.952,20.9,87.75,1.2,0.55,0.21,21.2,48,-1.8,44.1,15,15,1116,0.004,21.5
ET8,MC2,2023-06-01T14:45:00Z,0.08,0.965,20.4,87.7,1.2,1.93,0.43,20.4,99,-1.9,117.2,15,15,604,0.007,21.2
ET8,MC2,2023-06-01T15:00:00Z,0.07,0.972,20.7,87.67,1.2,1.04,0.39,20.8,9,-1.9,149.4,15,15,519,0.005,21
ET8,MC2,2023-06-01T15:15:00Z,0.07,0.972,21.2,87.7,1.3,1.36,0.28,21.2,299,-1.9,143.2,15,15,486,0.004,21
ET8,MC2,2023-06-01T15:30:00Z,0.08,0.97,21.4,87.69,1.2,0.8,0.24,21.3,72,-1.9,140.8,15,15,471,0.004,21
ET8,MC2,2023-06-01T15:45:00Z,0.14,0.946,21.4,87.69,1.1,1.46,0.21,21.3,245,-1.8,144.5,15,15,470,0.002,21
ET8,MC2,2023-06-01T16:00:00Z,0.18,0.927,21.4,87.69,1.2,0.67,0.17,21.2,256,-1.7,96.7,15,15,496,0.001,21
ET8,MC2,2023-06-01T16:15:00Z,0.18,0.93,21.3,87.69,1.2,0.94,0.18,21.1,307,-1.7,59.7,15,15,690,0,20.9
ET8,MC2,2023-06-01T16:30:00Z,0.14,0.945,20.7,87.69,1.2,1.11,0.26,20.6,61,-1.9,20,15,15,646,0.001,20.8
ET8,MC2,2023-06-01T16:45:00Z,0.1,0.957,20.1,87.69,1.2,1.55,0.32,20.2,44,-1.9,28.7,15,15,645,0.001,20.7
ET8,MC2,2023-06-01T17:00:00Z,0.09,0.962,20,87.67,1.3,1.43,0.44,20,56,-1.9,38.3,15,15,537,0.001,20.6
ET8,MC2,2023-06-01T17:15:00Z,0.06,0.972,20,87.66,1.3,1.36,0.5,19.9,25,-1.8,23.6,15,15,495,0.001,20.5
ET8,MC2,2023-06-01T17:30:00Z,0.06,0.976,19.9,87.67,1.2,1.28,0.45,20,347,-1.9,13,15,15,479,0,20.4
ET8,MC2,2023-06-01T17:45:00Z,0.07,0.971,20.1,87.71,1.3,1.62,0.46,20,81,-1.9,6.8,15,15,476,0,20.3
ET8,MC2,2023-06-01T18:00:00Z,0.06,0.975,20,87.74,1.3,1.53,0.41,19.9,6,-1.8,0,15,15,478,0,20.2
ET8,MC2,2023-06-01T18:15:00Z,0.05,0.979,19.9,87.74,1.3,1.9,0.8,19.9,87,-1.8,0,15,15,474,0,20.2
ET8,MC2,2023-06-01T18:30:00Z,0.05,0.976,19.7,87.75,1.3,1.55,0.56,19.8,35,-1.7,0,15,15,473,-0.001,20.1
ET8,MC2,2023-06-01T18:45:00Z,0.05,0.979,19.6,87.76,1.3,2.08,0.57,19.7,340,-1.8,0,15,15,523,-0.001,20
ET8,MC2,2023-06-01T19:00:00Z,0.04,0.98,19.7,87.78,1.3,1.86,0.57,19.7,1,-1.9,0,15,15,515,-0.001,19.9
ET8,MC2,2023-06-01T19:15:00Z,0.05,0.98,19.6,87.81,1.2,1.76,0.49,19.7,354,-1.8,0,15,15,509,-0.002,19.8
ET8,MC2,2023-06-01T19:30:00Z,0.05,0.979,19.7,87.82,1.2,2.72,0.41,19.7,314,-1.7,0,15,15,504,-0.002,19.7
ET8,MC2,2023-06-01T19:45:00Z,0.04,0.982,19.8,87.82,1.2,1.61,0.36,19.8,340,-1.7,0,15,15,525,-0.002,19.7
ET8,MC2,2023-06-01T20:00:00Z,0.04,0.983,19.9,87.84,1.2,1.85,0.46,19.8,307,-1.8,0,15,15,598,-0.002,19.7
ET8,MC2,2023-06-01T20:15:00Z,0.03,0.985,19.8,87.84,1.2,1.23,0.37,19.8,342,-1.8,0,15,15,704,-0.002,19.6
ET8,MC2,2023-06-01T20:30:00Z,0.03,0.986,19.7,87.86,1.2,1.22,0.4,19.8,336,-1.8,0,15,15,682,-0.002,19.6
ET8,MC2,2023-06-01T20:45:00Z,0.02,0.989,19.7,87.89,1.2,1.53,0.43,19.6,331,-1.7,0,15,15,683,-0.002,19.6
ET8,MC2,2023-06-01T21:00:00Z,0.01,0.994,19.6,87.89,1.2,2.14,0.44,19.7,359,-1.8,0,15,15,700,-0.002,19.6
ET8,MC2,2023-06-01T21:15:00Z,0.01,0.994,19.6,87.89,1.2,0.92,0.27,19.6,326,-1.8,0,15,15,646,-0.002,19.6
ET8,MC2,2023-06-01T21:30:00Z,0.01,0.997,19.6,87.9,1.2,1.49,0.26,19.6,48,-1.9,0,15,15,795,-0.001,19.5
ET8,MC2,2023-06-01T21:45:00Z,0.01,0.996,19.6,87.92,1.3,2.09,0.56,19.6,30,-2,0,15,15,825,0.003,19.5
ET8,MC2,2023-06-01T22:00:00Z,0.01,0.995,19.5,87.92,1.3,2.33,0.6,19.4,41,-2.1,0,15,15,673,0.007,19.5
ET8,MC2,2023-06-01T22:15:00Z,0.01,0.996,19.2,87.94,1.2,1.79,0.35,19.3,333,-2,0,15,15,593,0.007,19.4
ET8,MC2,2023-06-01T22:30:00Z,0,0.999,19.2,87.93,1.2,1.29,0.41,19.2,296,-2,0,15,15,586,0.007,19.4
ET8,MC2,2023-06-01T22:45:00Z,0,1,19.2,87.91,1.2,1.19,0.37,19.2,305,-1.9,0,15,15,584,0.006,19.4
ET8,MC2,2023-06-01T23:00:00Z,0,1,19.3,87.9,1.1,2.32,0.33,19.3,230,-1.8,0,15,15,615,0.006,19.3
ET8,MC2,2023-06-01T23:15:00Z,0,0.998,19.5,87.89,1.1,1.31,0.39,19.4,282,-1.8,0,15,15,652,0.006,19.3
ET8,MC2,2023-06-01T23:30:00Z,0.01,0.993,19.4,87.87,1.2,1.41,0.46,19.2,292,-1.9,0,15,15,563,0.006,19.3
ET8,MC2,2023-06-01T23:45:00Z,0.01,0.994,19.1,87.86,1.2,2.04,0.47,19.1,287,-1.8,0,15,15,589,0.006,19.2
ET8,MC2,2023-06-02T00:00:00Z,0.01,0.993,19,87.86,1.2,1.38,0.43,19,282,-1.9,0,15,15,520,0.006,19.1
ET8,MC2,2023-06-02T00:15:00Z,0.02,0.992,19.1,87.86,1.1,1.42,0.42,19,269,-1.9,0,15,15,497,0.006,19.1
ET8,MC2,2023-06-02T00:30:00Z,0.02,0.993,19.2,87.83,1.1,1.2,0.4,19.2,281,-1.7,0,15,15,484,0.006,19
ET8,MC2,2023-06-02T00:45:00Z,0.02,0.989,19.4,87.82,1.1,1.67,0.37,19.2,282,-1.7,0,15,15,483,0.006,19
ET8,MC2,2023-06-02T01:00:00Z,0.03,0.986,19.4,87.79,1.2,1.18,0.39,19.4,297,-1.8,0,15,15,479,0.005,19
ET8,MC2,2023-06-02T01:15:00Z,0.03,0.985,19.3,87.76,1.2,1.52,0.48,19.3,353,-1.8,0,15,15,477,0.005,19
ET8,MC2,2023-06-02T01:30:00Z,0.04,0.983,19.3,87.73,1.3,2.03,0.56,19.3,296,-1.8,0,15,15,479,0.005,19
ET8,MC2,2023-06-02T01:45:00Z,0.03,0.987,19.3,87.72,1.1,2.43,0.63,19.3,336,-1.8,0,15,15,477,0.004,18.9
ET8,MC2,2023-06-02T02:00:00Z,0.02,0.99,19.3,87.7,1.2,1.65,0.56,19.3,5,-1.8,0,15,15,475,0.004,18.9
ET8,MC2,2023-06-02T02:15:00Z,0.04,0.982,19.4,87.68,1.2,2.35,0.53,19.5,337,-1.8,0,15,15,472,0.004,18.9
ET8,MC2,2023-06-02T02:30:00Z,0.08,0.966,19.6,87.68,1.2,1.46,0.46,19.5,307,-1.6,0,15,15,468,0.004,18.9
ET8,MC2,2023-06-02T02:45:00Z,0.08,0.967,19.5,87.67,1.1,2.42,0.48,19.4,295,-1.7,0,15,15,467,0.003,18.9
ET8,MC2,2023-06-02T03:00:00Z,0.08,0.965,19.5,87.67,1.2,1.51,0.4,19.4,299,-1.6,0,15,15,464,0.003,18.9
ET8,MC2,2023-06-02T03:15:00Z,0.09,0.959,19.5,87.66,1.2,1.63,0.4,19.4,311,-1.7,0,15,5,457,0.002,18.9
ET8,MC2,2023-06-02T03:30:00Z,0.11,0.953,19.5,87.66,1.2,1.72,0.49,19.4,28,-1.7,0,15,0,456,0.002,18.9
ET8,MC2,2023-06-02T03:45:00Z,0.11,0.95,19.5,87.66,1.2,1.51,0.42,19.4,63,-1.7,0,15,0,457,0.002,18.8
ET8,MC2,2023-06-02T04:00:00Z,0.1,0.957,19.3,87.67,1.2,1.73,0.54,19.3,48,-1.7,0,15,0,456,0.002,18.8
ET8,MC2,2023-06-02T04:15:00Z,0.11,0.951,19.4,87.67,1.2,1.54,0.45,19.4,56,-1.7,0,15,0,456,0.001,18.8
ET8,MC2,2023-06-02T04:30:00Z,0.13,0.941,19.6,87.67,1.2,1.75,0.42,19.5,10,-1.7,0,15,0,456,0.001,18.8
ET8,MC2,2023-06-02T04:45:00Z,0.15,0.936,19.6,87.67,1.2,1.76,0.45,19.5,69,-1.7,0,15,0,456,0.001,18.8
ET8,MC2,2023-06-02T05:00:00Z,0.15,0.935,19.6,87.69,1.2,1.45,0.45,19.6,69,-1.6,0,15,7,467,0.001,18.7
ET8,MC2,2023-06-02T05:15:00Z,0.16,0.933,19.8,87.7,1.2,1.31,0.42,19.7,359,-1.7,0,15,6,456,0.001,18.7
ET8,MC2,2023-06-02T05:30:00Z,0.14,0.938,19.7,87.7,1.2,1.42,0.49,19.6,69,-1.6,0,15,0,456,0,18.7
ET8,MC2,2023-06-02T05:45:00Z,0.13,0.944,19.6,87.72,1.3,1.95,0.41,19.6,83,-1.6,6.8,15,0,456,0,18.7
ET8,MC2,2023-06-02T06:00:00Z,0.14,0.941,19.6,87.75,1.2,1.13,0.36,19.6,43,-1.6,14.3,15,0,456,0,18.7
ET8,MC2,2023-06-02T06:15:00Z,0.16,0.93,19.8,87.76,1.3,1.42,0.56,19.8,63,-1.6,23.3,15,0,455,0,18.8
ET8,MC2,2023-06-02T06:30:00Z,0.13,0.944,19.6,87.78,1.2,2.34,0.56,19.7,30,-1.6,26.7,15,0,455,0,18.8
ET8,MC2,2023-06-02T06:45:00Z,0.15,0.937,19.7,87.8,1.2,1.56,0.42,19.8,342,-1.6,20,15,1,477,0,18.8
ET8,MC2,2023-06-02T07:00:00Z,0.14,0.937,19.7,87.81,1.2,1.64,0.45,19.6,53,-1.6,14.6,15,15,753,0,18.8
ET8,MC2,2023-06-02T07:15:00Z,0.11,0.952,19.4,87.82,1.2,1.41,0.44,19.3,30,-1.8,10.6,15,15,711,0,18.8
ET8,MC2,2023-06-02T07:30:00Z,0.07,0.967,19,87.83,1.3,1.62,0.44,19,63,-1.8,8.6,15,15,685,0.002,18.7
ET8,MC2,2023-06-02T07:45:00Z,0.07,0.969,18.8,87.83,1.3,1.82,0.36,18.9,315,-1.8,9.5,15,15,711,0.003,18.7
ET8,MC2,2023-06-02T08:00:00Z,0.08,0.964,19,87.82,1.3,1.13,0.37,18.9,355,-2,12.5,15,15,652,0.005,18.6
ET8,MC2,2023-06-02T08:15:00Z,0.07,0.967,19.2,87.83,1.3,2.46,0.39,19,270,-1.9,15.9,15,15,729,0.007,18.6
ET8,MC2,2023-06-02T08:30:00Z,0.07,0.967,19.4,87.84,1.3,1.84,0.44,19.3,47,-2,19.6,15,15,686,0.008,18.6
ET8,MC2,2023-06-02T08:45:00Z,0.07,0.969,19.5,87.85,1.3,1.47,0.41,19.3,53,-2,24.7,15,15,757,0.009,18.6
ET8,MC2,2023-06-02T09:00:00Z,0.07,0.969,19.5,87.86,1.3,1.32,0.35,19.4,16,-2,30.9,15,15,742,0.01,18.6
ET8,MC2,2023-06-02T09:15:00Z,0.07,0.971,19.6,87.84,1.3,1.09,0.34,19.4,29,-2,41.4,15,15,756,0.01,18.7
ET8,MC2,2023-06-02T09:30:00Z,0.08,0.965,19.8,87.83,1.3,1.09,0.34,19.6,327,-2,59.3,15,15,656,0.011,18.7
ET8,MC2,2023-06-02T09:45:00Z,0.12,0.95,20,87.81,1.3,1.29,0.28,19.8,18,-2,91.2,15,15,542,0.011,18.8
ET8,MC2,2023-06-02T10:00:00Z,0.16,0.934,20.4,87.79,1.3,0.92,0.27,20.1,350,-1.8,105.7,15,15,491,0.011,18.8
ET8,MC2,2023-06-02T10:15:00Z,0.18,0.926,20.8,87.78,1.2,1.36,0.41,20.5,79,-1.9,113.7,15,15,477,0.01,18.9
ET8,MC2,2023-06-02T10:30:00Z,0.22,0.91,21,87.77,1.3,1.75,0.35,20.8,332,-1.8,143.6,15,15,474,0.01,19
ET8,MC2,2023-06-02T10:45:00Z,0.21,0.917,21.3,87.78,1.2,2.24,0.36,21,331,-1.7,193.5,15,15,469,0.009,19.2
ET8,MC2,2023-06-02T11:00:00Z,0.19,0.926,21.5,87.79,1.3,1.47,0.67,21.4,351,-1.8,248.7,15,15,463,0.009,19.3
ET8,MC2,2023-06-02T11:15:00Z,0.21,0.92,21.7,87.78,1.2,1.31,0.39,21.7,27,-1.7,267.9,15,2,453,0.009,19.5
ET8,MC2,2023-06-02T11:30:00Z,0.25,0.906,22.4,87.77,1.3,1.91,0.31,22.2,4,-1.7,246.1,15,0,453,0.009,19.7
ET8,MC2,2023-06-02T11:45:00Z,0.3,0.89,22.6,87.76,1.3,1.13,0.45,22.5,52,-1.6,263.3,15,0,452,0.008,19.9
ET8,MC2,2023-06-02T12:00:00Z,0.39,0.859,22.9,87.74,1.2,2.01,0.6,22.8,32,-1.5,327.8,15,0,452,0.008,20.1
ET8,MC2,2023-06-02T12:15:00Z,0.42,0.849,22.8,87.71,1.2,1.93,0.61,22.8,20,-1.5,268.4,15,0,451,0.007,20.3
ET8,MC2,2023-06-02T12:30:00Z,0.42,0.851,23.1,87.7,1.2,1.42,0.45,23,341,-1.5,260.7,15,0,451,0.007,20.4
